1.6637427806854248 0.800000011920929 0.5|1.0 0.800000011920929 0.5|0.8122652769088745 0.800000011920929 0.5
0.75 0.8289715051651001 0.44999999925494194|0.75 1.0 0.44999999925494194|0.75 1.9999973773956299 0.44999999925494194

1.6637423038482666 0.5 0.5|1.0 0.5 0.5|0.6819372177124023 0.5 0.5
0.75 0.75 0.5500000007450581|0.75 1.0 0.5500000007450581|0.75 1.9999983310699463 0.5500000007450581

-0.112057626247406 0.5 0.5|0.0 0.5 0.5|0.46933668851852417 0.5 0.5
0.5486633777618408 0.798218309879303 0.5|0.0 0.800000011920929 0.5|-0.2769944667816162 0.8008995056152344 0.5

-0.11203122138977051 0.2474079132080078 0.5|0.0 0.25 0.5|0.15995246171951294 0.253700852394104 0.5
0.2686465084552765 -0.012599632143974304 0.18632513284683228|0.3753663897514343 0.12951934337615967 0.5|0.3909153938293457 0.15022596716880798 0.5457021817564964
0.30245766043663025 0.2355320006608963 0.827236533164978|0.2993127107620239 0.37148517370224 0.5406920425593853|0.2986965775489807 0.3981199860572815 0.48455463349819183
0.22348487377166748 0.5959016680717468 0.4176734983921051|0.21155083179473877 0.6756711006164551 0.49762012413702905|0.19066797196865082 0.8152561783790588 0.6375152617692947
0.24666374921798706 0.8577753305435181 0.44999999925494194|0.24500000476837158 1.0 0.44999999925494194|0.24154828488826752 1.2950688600540161 0.44999999925494194

1.1120549440383911 0.2507500648498535 0.5|1.0 0.25 0.5|0.7423368692398071 0.2482752799987793 0.5
0.6017293334007263 0.08094020932912827 0.1531633734703064|0.5326797962188721 0.14761853218078613 0.5|0.5225667953491211 0.1573842465877533 0.5507977269589901
0.47697219252586365 0.2355320006608963 0.827236533164978|0.4738275408744812 0.37148517370224 0.5406920425593853|0.47321146726608276 0.3981199860572815 0.48455463349819183
0.2951871156692505 0.5959016680717468 0.4176734983921051|0.2832530736923218 0.6756711006164551 0.49762012413702905|0.26237019896507263 0.8152561783790588 0.6375152617692947
0.2516637444496155 0.8577753305435181 0.5500000007450581|0.25 1.0 0.5500000007450581|0.24654828011989594 1.2950688600540161 0.5500000007450581

0.4927197992801666 -0.11932075023651123 0.5500000007450581|0.5 0.0 0.5500000007450581|0.5036865472793579 0.06042163819074631 0.5500000007450581
0.015089333057403564 0.23203955590724945 0.5500000007450581|0.31791841983795166 0.2874951660633087 0.5500000007450581|0.4504811763763428 0.3117707371711731 0.5500000007450581
0.6679757833480835 0.2720786929130554 0.5500000007450581|0.6759557723999023 0.15247967839241028 0.5500000007450581|0.6837705373764038 0.03535719960927963 0.5500000007450581
0.9402028322219849 0.05999999865889549 0.5500000007450581|1.0 0.05999999865889549 0.5500000007450581|1.6493451595306396 0.05999999865889549 0.5500000007450581

0.4927197992801666 -0.11932075023651123 0.44999999925494194|0.5 0.0 0.44999999925494194|0.5036865472793579 0.06042163819074631 0.44999999925494194
0.015089333057403564 0.23203955590724945 0.44999999925494194|0.31791841983795166 0.2874951660633087 0.44999999925494194|0.4504811763763428 0.3117707371711731 0.44999999925494194
0.6679757833480835 0.2720786929130554 0.44999999925494194|0.6759557723999023 0.15247967839241028 0.44999999925494194|0.6837705373764038 0.03535719960927963 0.44999999925494194
0.9402028322219849 0.05999999865889549 0.44999999925494194|1.0 0.05999999865889549 0.44999999925494194|1.6493451595306396 0.05999999865889549 0.44999999925494194

