1.7071075439453125 0.800000011920929 0.5|1.0 0.800000011920929 0.5|0.800000011920929 0.800000011920929 0.5
0.75 0.8289715051651001 0.44999999925494194|0.75 1.0 0.44999999925494194|0.75 1.9999973773956299 0.44999999925494194

1.7071068286895752 0.5 0.5|1.0 0.5 0.5|0.6611571311950684 0.5 0.5
0.75 0.75 0.5500000007450581|0.75 1.0 0.5500000007450581|0.75 1.9999983310699463 0.5500000007450581

-0.11937868595123291 0.5 0.5|0.0 0.5 0.5|0.5 0.5 0.5
0.584509015083313 0.7982179522514343 0.5|0.0 0.800000011920929 0.5|-0.29509127140045166 0.8008996844291687 0.5

-0.11935054510831833 0.2474079132080078 0.5|0.0 0.25 0.5|0.17040273547172546 0.253700852394104 0.5
0.3052506148815155 -0.012599647045135498 0.1863251030445099|0.4189426898956299 0.12951932847499847 0.5|0.42722511291503906 0.13987264037132263 0.5228510927408934
0.4078071117401123 0.16637581586837769 0.604660227894783|0.3858996629714966 0.2072848081588745 0.6449385285377502|0.36399221420288086 0.24819378554821014 0.6852168142795563
0.33959540724754333 0.30350857973098755 0.6839642822742462|0.3379201591014862 0.37148517370224 0.5406920425593853|0.3372637629508972 0.3981199860572815 0.48455463349819183
0.2571382522583008 0.5959016680717468 0.4176734983921051|0.24442452192306519 0.6756711006164551 0.4976201243698597|0.22217731177806854 0.8152561783790588 0.6375152468681335
0.2517724335193634 0.8577753305435181 0.44999999925494194|0.25 1.0 0.44999999925494194|0.24632279574871063 1.2950688600540161 0.44999999925494194

0.24915435910224915 -0.1193755567073822 0.5500000007450581|0.25 0.0 0.5500000007450581|0.2524402439594269 0.3444802165031433 0.5500000007450581
0.7447408437728882 0.3857194185256958 0.5500000007450581|0.75 0.0 0.5500000007450581|0.7540231347084045 -0.29506537318229675 0.5500000007450581

0.24915435910224915 -0.1193755567073822 0.44999999925494194|0.25 0.0 0.44999999925494194|0.2524402439594269 0.3444802165031433 0.44999999925494194
0.7447408437728882 0.3857194185256958 0.44999999925494194|0.75 0.0 0.44999999925494194|0.7540231347084045 -0.29506537318229675 0.44999999925494194

1.1193759441375732 0.2507500648498535 0.5|1.0 0.25 0.5|0.7255029082298279 0.2482752799987793 0.5
0.6600943207740784 0.08094019442796707 0.1531633734703064|0.5865339636802673 0.14761851727962494 0.5|0.5811471343040466 0.15250137448310852 0.525398863479495
0.5663104057312012 0.17447975277900696 0.6072079986333847|0.5524015426635742 0.21223154664039612 0.6468493640422821|0.5384926795959473 0.24998334050178528 0.6864907294511795
0.5255118012428284 0.30350857973098755 0.6839642822742462|0.523836612701416 0.37148517370224 0.5406920425593853|0.5231802463531494 0.3981199860572815 0.48455463349819183
0.33352506160736084 0.5959016680717468 0.4176734983921051|0.32081133127212524 0.6756711006164551 0.4976201243698597|0.2985641360282898 0.8152561783790588 0.6375152468681335
0.2517724335193634 0.8577753305435181 0.5500000007450581|0.25 1.0 0.5500000007450581|0.24632279574871063 1.2950688600540161 0.5500000007450581

